ctrycode,mktcode,market,longitude,latitude
AO,200,Luanda,13.234444,-8.838333
BJ,401,Cotonou,2.433333,6.366667
BJ,402,Malanville,3.393031,11.861949
BJ,403,Natitingou,1.388616,10.31291
BJ,404,Parakou,2.616667,9.35
BW,110,Gaborone,25.908739,-24.65411
BF,405,Bobo Dioulasso,-4.291773,11.1781
BF,406,Dedougou,-3.463617,12.45462
BF,407,Fada Ngourma,0.360972,12.05481
BF,408,Ouagadougou,-1.533864,12.364637
BI,201,Bujumbura,29.359349,-3.376217
BI,202,Gitega,29.92979,-3.429664
BI,203,Muyinga,30.333333,-2.85
CM,410,Bamenda,10.14751,5.958647
CM,411,Douala,9.706374,4.047486
CM,412,Garoua,13.4,9.3
CM,413,Yaounde,11.516667,3.866667
CF,210,Bambari,20.670971,5.759174
CF,211,Bangassou,22.822321,4.740849
CF,212,Bangui,18.555975,4.361698
TD,414,Abeche,20.834722,13.833056
TD,415,Moundou,16.083333,8.566667
TD,416,Ndjamena,15.044506,12.104797
TD,417,Sarh,18.383333,9.15
CG,213,Brazzaville,15.283333,-4.266667
CG,214,Impfondo,18.053938,1.625945
CG,215,Pointe Noire,11.86364,-4.77867
CI,420,Abengourou,-3.490142,6.72718
CI,421,Abidjan,-4.027751,5.336318
CI,422,Bouake,-5.030654,7.688089
CI,423,Daloa,-6.45,6.883333
CI,424,Man,-7.55,7.4
CI,425,Odienne,-7.566667,9.516667
CD,220,Bandundu,17.385599,-3.315234
CD,221,Bukavu,28.845079,-2.515364
CD,222,Bunia,30.25,1.566667
CD,223,Butembo,29.287371,0.127752
CD,224,Gbadolite,21.017801,4.28704
CD,225,Goma,29.235665,-1.685674
CD,226,Isiro,27.608277,2.772236
CD,121,Kalemie,29.189992,-5.941258
CD,122,Kamina,24.995171,-8.735764
CD,227,Kananga,22.402781,-5.892211
CD,228,Kikwit,18.816191,-5.040981
CD,229,Kindu,25.95,-2.95
CD,230,Kinshasa,15.313889,-4.331667
CD,231,Kisangani,25.19615,0.519285
CD,123,Kolwezi,25.466667,-10.716667
CD,124,Lubumbashi,27.479553,-11.664677
CD,232,Matadi,13.450237,-5.837096
CD,233,Mbandaka,18.25596,0.047647
CD,234,Mbuji Mayi,23.58983,-6.136985
CD,235,Tshikapa,20.8,-6.416667
CD,236,Uvira,29.132028,-3.425439
CD,237,Zongo,18.596971,4.335618
DJ,301,Djibouti,43.145,11.588
ER,302,Asmara,38.92617,15.33236
ER,303,Massawa,39.438071,15.621966
ET,310,Addis Ababa,38.746799,9.022736
ET,312,Awasa,38.476711,7.060202
ET,313,Bahir Dar,37.387999,11.587697
ET,314,Dessie,39.633333,11.133333
ET,315,Dire Dawa,41.87019,9.589229
ET,316,Gambela,34.588169,8.24478
ET,240,Gode,43.5655,5.948498
ET,317,Gondar,37.466667,12.6
ET,241,Jijiga,42.795519,9.356784
ET,318,Jimma,36.83844,7.678478
ET,319,Mekele,39.47353,13.49614
ET,320,Nekemte,36.55,9.083333
ET,242,Yabelo,38.100163,4.894975
GA,426,Libreville,9.453644,0.390841
GM,427,Banjul,-16.596306,13.463881
GH,428,Accra,-0.196306,5.555717
GH,429,Bolgatanga,-0.85,10.783333
GH,430,Ho,0.471394,6.599779
GH,431,Kumasi,-1.621969,6.687119
GH,432,Sekondi Takoradi,-1.76806,4.902676
GH,433,Tamale,-0.853333,9.4075
GH,434,Wa,-2.5,10.066667
