mktcode,country,market,crop,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144
200,Angola,Luanda,Maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.725944479,1.749869724,1.759091383,1.770208333,1.796878252,1.81566916,1.828696013,1.824287794,1.813256127,1.815640736,1.86975398,
401,Benin,Cotonou,Maize,0.250006757,0.250006757,0.263117344,0.2772642,0.299492284,0.299570387,0.311352032,0.254438188,0.217890034,0.202621837,0.206889798,0.226115956,0.225743389,0.240890517,0.223141344,0.248938278,0.23734244,0.240310588,0.234799882,0.179558174,0.17982214,0.188325437,0.18715043,0.215933001,0.20260492,0.231013261,0.252339514,0.247386726,0.280854239,0.28580685,0.336923124,0.316170542,0.306713684,0.313874927,0.33644845,0.367941352,0.340853224,0.367131892,0.513333692,0.472118733,0.532479713,0.631458094,0.487944891,0.417850656,0.413601706,0.384335932,0.35103978,0.298218766,0.304472985,0.300690221,0.348213983,0.354464584,0.408532572,0.36702458,0.32896691,0.322126079,0.262095565,0.250013318,0.23532171,0.221347787,0.218078294,0.228859365,0.252232459,0.25728672,0.257599388,0.224774296,0.260856754,0.280391418,0.285675168,0.281807444,0.402270684,0.421501548,0.425985186,0.482412908,0.543072881,0.624662592,0.831083866,0.830371477,0.914126258,0.663249787,0.503983552,0.499421486,0.465352292,0.470946588,0.558902535,0.527559204,0.545843186,0.623590259,0.674245602,0.598107204,0.600974437,0.347913595,0.299405979,0.361269311,0.363436391,0.423184355,0.413765229,0.438159704,0.393331662,0.419888199,0.451987746,0.418906888,0.437263477,0.432898218,0.446734283,0.486995422,0.459288078,0.443156337,0.427432104,0.457644864,0.480027752,0.604801952,0.601841548,0.602552588,0.599249565,0.612757837,0.463591133,0.459416503,0.414385904,0.492620148,0.481688181,0.473349897,0.443221511,0.491650569,0.440671427,0.420143032,0.516259451,0.481174746,0.460342565,0.464617867,0.430250523,0.439534621,0.445263549,0.4488867,0.53404983,0.545367431,0.544278652,0.552361123,0.548099083,0.456918106,0.427196119,0.436422219,0,0
401,Benin,Cotonou,Rice,0.479742696,0.479742696,0.4722619,0.466615362,0.480580642,0.504155041,0.53157664,0.523843328,0.533454911,0.532820385,0.544043543,0.553594238,0.572420737,0.589766439,0.58677909,0.547664212,0.624122712,0.631927843,0.617436726,0.56432569,0.565155299,0.591879945,0.588187065,0.572691873,0.588519055,0.616035362,0.598138108,0.586398165,0.579828106,0.636150731,0.598974443,0.59514455,0.594838659,0.656283938,0.682792443,0.705220924,0.691731542,0.684651367,0.694510289,0.678670679,0.668020004,0.660160735,0.641025641,0.607782772,0.601602481,0.585654753,0.57606528,0.578363668,0.590493062,0.583156792,0.586465656,0.596992984,0.622525825,0.627805203,0.667609318,0.673536347,0.669799776,0.663496882,0.676549917,0.643920834,0.634409583,0.636826059,0.504464918,0.710111348,0.710974311,0.704973928,0.71996464,0.716555846,0.730058762,0.791228592,0.893934853,0.887371681,0.896810918,0.897512387,0.991698305,1.021083083,1.009173266,1.008308223,1.082517937,1.029180704,1.05179176,0.978458422,0.930704584,1.023796931,1.077157613,0.996500719,0.95274447,0.995732832,1.078792963,1.025326636,1.030241892,1.076357684,1.175445694,1.196704592,1.10166656,1.069097319,1.04530163,1.011940269,1.09718832,1.085564612,1.019376619,0.986758446,1.029998412,1.042891162,1.052307422,1.122206843,1.106466734,1.067603902,1.078757215,1.060904003,1.024059204,1.055654315,1.159912801,1.16128317,1.154917344,1.159863049,1.116833184,1.106776122,1.098122645,1.065668075,1.042019331,1.067555087,1.067760913,1.063570619,1.038026027,1.012162759,0.994972759,1.000088687,1.038219403,1.047861572,1.036512624,1.058878859,1.072680369,1.081408868,1.048320037,1.051071776,1.048973401,1.064550528,1.056336414,1.076295982,1.078161633,1.101446553,0,0
402,Benin,Malanville,Maize,0.168923484,0.175680424,0.18890476,0.202876244,0.215913042,0.204584654,0.26578832,0.194570379,0.14275554,0.127576712,0.145589117,0.140347835,0.161245278,0.166131391,0.15702539,0.141065024,0.140647372,0.133505882,0.130444379,0.119705449,0.145570304,0.143486047,0.133678878,0.140825871,0.1447178,0.182885498,0.177572251,0.174086955,0.172136469,0.202830668,0.205897465,0.278974008,0.213770143,0.209249951,0.217701938,0.265735421,0.230577181,0.267907056,0,0,0.406620872,0.45924225,0.526215078,0.351374415,0,0,0.21602448,0.216886376,0.175302628,0.218683797,0.229088147,0.251856415,0.262628082,0.231804998,0.232211937,0.224512116,0.18443762,0.163470246,0,0,0,0.159206515,0.191696669,0.164663501,0,0,0.208685403,0.228467081,0.232772359,0.270968696,0.212309528,0.244027212,0.212992593,0.336567145,0.401401695,0.396420491,0.474905066,0.652434732,0.661538739,0.503155011,0.591632865,0.315960532,0,0,0,0,0,0,0,0,0,0.413147394,0.310495089,0.248372651,0.227147744,0.289547191,0,0,0.279472497,0.282656446,0.273116,0.269962216,0.310942917,0.324673664,0.248185713,0.285845139,0.281835866,0.271936843,0.274777781,0.29122855,0.330685785,0.417863167,0.415817797,0.361531553,0.414026972,0.415799961,0.368765674,0.302797241,0.362587666,0.311657645,0.294911131,0.302138232,0.382782214,0.381280033,0.372122538,0.401045621,0.431780631,0.452870349,0.29383568,0.296564596,0.293352629,0.299682696,0.303588784,0.357068966,0.395592467,0.396630859,0.395839019,0.40171718,0.398617515,0.30461207,0.305140085,0.311730156,0,0
402,Benin,Malanville,Sorghum,0.182437363,0.189194303,0.209144556,0.216401327,0.257702663,0.299570387,0.318945984,0.314305997,0.308051427,0.315189523,0.245202724,0.155942039,0.169307542,0.174437961,0.165289885,0.174256795,0.149437832,0.142406274,0.139140671,0.136806228,0.128444386,0.125550291,0.133678878,0.150214262,0.154365654,0.221387708,0.233647699,0.229061783,0.226495354,0.230489395,0.271410295,0.269674874,0.223064497,0.247295397,0.286970737,0.2963972,0.240602276,0.27782954,0,0,0,0,0.58362036,0.360871021,0,0,0.30603468,0.307255699,0.276793623,0.236907447,0.26574225,0.270512446,0.282082014,0.270439164,0.261238429,0.253796305,0.242681078,0.230781524,0,0,0,0.228859365,0.232053862,0.236703783,0,0,0.239988213,0.238851949,0.243352921,0.2492912,0.268180456,0.27730365,0.31948889,0.359004955,0.425013559,0.432458718,0.486777693,0.557535135,0.625454808,0.617508422,0.613545193,0.407691009,0,0,0,0,0,0,0,0,0,0.489253493,0.421386192,0.451586638,0.522439812,0.389775064,0.370210994,0.302538843,0.300174163,0.34819997,0.326969859,0.316507426,0.388678646,0.334512259,0.287895427,0.307018853,0.302712597,0.292080313,0.295131691,0.301629569,0.309351218,0.384873969,0.393932649,0.372487054,0.403131526,0.393915752,0.421446484,0.480299072,0.47654379,0.392085424,0.334232616,0.372637153,0.402928647,0.401347404,0.391707935,0.420143032,0.431780631,0.490609545,0.450548043,0.45473238,0.449807365,0.459513467,0.344067288,0.408078818,0.395592467,0.40654663,0.445318897,0.522232334,0.46837558,0.527994255,0.579766161,0.540332271,0,0
403,Benin,Natitingou,Maize,0.189194303,0.21622206,0.215891154,0.243451493,0.257702663,0.270344008,0.311352032,0.224504283,0.195349686,0.157594762,0.176239458,0.171536243,0.18543207,0.174437961,0.173554379,0.174256795,0.184599675,0.186908235,0.18262213,0.136806228,0.137007345,0.143486047,0.142590804,0.150214262,0.154365654,0.15400884,0.158880435,0.174086955,0.199315912,0.202830668,0.252692343,0.251076607,0.204475789,0.209249951,0.257284109,0.275956014,0.240602276,0.238139606,0.281830262,0.304910015,0,0,0.497512438,0.398857444,0.310201279,0.274525665,0.24302754,0.243997173,0.24911426,0.246019272,0.26574225,0.279840461,0.29180898,0.280097706,0.270913926,0.263557701,0.242681078,0.18270204,0.196101425,0.201225261,0.218078294,0.218908958,0.221964564,0.226412314,0.226687461,0.224774296,0.219119673,0.228467081,0.232772359,0.173419965,0.346399756,0.288395796,0.302673685,0.32534824,0.448625424,0.456484202,0.49865032,0.616847383,0.769790533,0.651814446,0.427290403,0.305768257,0.310234861,0.348090957,0.436960164,0.420093441,0.426750127,0.442547925,0.456412408,0.469941375,0.472194201,0.347913595,0.288316868,0.270951983,0.261219906,0.300683621,0.293991084,0.281674096,0.279472497,0.276511741,0.307736338,0.307198384,0.320659883,0.373866643,0.26804057,0.285845139,0.281835866,0.332367253,0.325662555,0.332832628,0.341353068,0.406866767,0.437702944,0.438220064,0.414026972,0.415799961,0.368765674,0.365444946,0.314933287,0.351871534,0.344062987,0.352494604,0.352562566,0.351178978,0.342744443,0.3628508,0.356688348,0.415131153,0.372191861,0.296564596,0.293352629,0.329650966,0.384545793,0.387674877,0.375812844,0.436293945,0.435422921,0.441888898,0.438479266,0.406149427,0.305140085,0.311730156,0,0
403,Benin,Natitingou,Rice,0.459471878,0.472985756,0.4722619,0.473377903,0.487545579,0.511461636,0.53157664,0.523843328,0.525941462,0.525315872,0.528718373,0.538000034,0.564358473,0.58145987,0.578514596,0.580855983,0.606541791,0.623027451,0.608740434,0.598527247,0.599407135,0.627751457,0.623834766,0.657187396,0.675349735,0.702665335,0.644867648,0.641372993,0.625127177,0.636150731,0.617692395,0.59514455,0.594838659,0.646772576,0.692687986,0.807426855,0.701756637,0.684651367,0.734771755,0.727849714,0,0,0.707998469,0.702748831,0.695602869,0.677163308,0.65707446,0.641622194,0.636625332,0.67427504,0.678100914,0.690273137,0.719795485,0.705073535,0.706311308,0.712581932,0.698921506,0.692344573,0.69616006,0.704288412,0.693885481,0.706478909,0.716340184,0.720402816,0.710974311,0.704973928,0.740833181,0.747710448,0.772381009,0.791228592,0.826889739,0.820818804,0.807129826,0.830198958,0.873638983,0.88894292,1.021045893,1.150657619,1.214825685,1.18927548,1.161353402,1.0701889,0.930704584,0.962369115,0.934891513,0.89880457,0.913046784,1.00579074,0.995808889,0.982604693,1.030241892,1.087229984,1.108911032,1.072518266,1.090309173,1.024551597,1.023524513,0.980643148,0.972978322,0.972911681,0.923209013,0.902977069,0.981413581,1.003536778,1.012597708,1.037511987,1.043836542,1.007173492,1.06858026,1.092107061,1.130732038,1.165618307,1.159912801,1.16128317,1.154917344,1.159863049,1.116833184,1.106776122,1.098122645,1.035507658,1.042019331,1.067555087,1.067760913,1.063570619,1.038026027,1.012162759,0.994972759,1.000088687,1.038219403,1.047861572,1.036512624,1.058878859,1.072680369,1.081408868,1.048320037,1.051071776,1.048973401,1.064550528,1.056336414,1.076295982,1.078161633,1.101446553,0,0
403,Benin,Natitingou,Sorghum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304472985,0.264242921,0.302396354,0.317152523,0.330716844,0.328390414,0.32896691,0.331887475,0.330046267,0.317324596,0.284347067,0.291776628,0.277554192,0.228859365,0.232053862,0.267578189,0.29881529,0.26564235,0.239988213,0.238851949,0.243352921,0.2492912,0.379922313,0.354948672,0.325093958,0.336567145,0.472237288,0.480509686,0.522395573,0.628709833,0.817902441,0.754732516,0.624501358,0.580959688,0.552605847,0.532374404,0.426798299,0.449402285,0.456523392,0.46266374,0.477158426,0.309734088,0.311218905,0.315296695,0.321584199,0.327400313,0.329364229,0.378638634,0.359322435,0.302538843,0.300174163,0.296994092,0.326969859,0.316507426,0.330376849,0.393543835,0.39709714,0.42347428,0.407096251,0.342438987,0.346016465,0.353634668,0.362687635,0.439855965,0.503358385,0.503953074,0.435817866,0.437684169,0.453054971,0.469857788,0.55942097,0.462459731,0.422705955,0.402850976,0.402928647,0.441482144,0.450464125,0.439240443,0.431780631,0.434000751,0.450548043,0.45473238,0.449807365,0.459513467,0.465502802,0.469290641,0.454931337,0.456125488,0.455214872,0.461974757,0.568029958,0.578762934,0.579766161,0.592287297,0,0
404,Benin,Parakou,Maize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160414654,0.178379436,0.183309214,0.182885498,0.205609975,0.201574369,0.135897212,0.129074061,0.159102587,0.213880073,0.288124976,0.247295397,0.18801531,0.214632455,0.210526991,0.208372155,0.251634163,0.265566787,0.455028119,0.526215078,0.641025641,0.512816714,0.357201473,0.292827376,0.21602448,0.262071037,0.267567169,0.264242921,0.26574225,0.298496492,0.320989878,0.318731872,0.280589424,0.29284189,0.291217294,0.230781524,0.23532171,0.241470313,0.237903594,0.238809772,0.221964564,0.226412314,0.226687461,0.173689229,0.187816863,0.207697347,0.243352921,0.227613704,0.301703013,0.27730365,0.302673685,0.32534824,0.425013559,0.468496944,0.486777693,0.711746981,0.938182212,0.89195661,0.755975328,0.499421486,0.378098737,0.399280803,0,0,0,0,0,0,0,0.413147394,0.35485153,0.237082985,0.249862519,0.378638634,0.359322435,0.344268339,0.341577496,0.337958794,0.326969859,0.251344133,0.320659883,0.275480684,0.218403427,0.254084568,0.281835866,0.251793373,0.264600826,0.28082753,0.298683935,0.329891974,0.393932649,0.372487054,0.414026972,0.372031544,0.421446484,0.417651367,0.279710485,0.382031952,0.314571874,0.322280781,0.322342917,0.341145293,0.352537141,0.315107274,0.347301812,0.245304772,0.29383568,0.336106542,0.322687892,0.329650966,0.333947662,0.336665025,0.385702655,0.396630859,0.395839019,0.41176011,0.46837558,0.294458335,0.26445474,0.342903172,0.28804101,0
404,Benin,Parakou,Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.192496202,0,0,0,0,0,0,0,0,0,1.152463783,1.175445694,1.275732253,1.272027369,1.180461623,1.154187217,1.14756113,1.15929332,0.69639994,0.70202352,0.875049943,0.952262683,0.954343799,0.903395995,1.058685701,0.730685579,0.997101758,0.976987666,0.977695845,1.034726488,1.099639912,1.116142506,1.09555016,1.100440111,1.105152527,0.906109941,0.897950439,0.890929693,1.025454186,1.012528218,0.946699794,0.967028752,0.983301139,0.979269837,0.88802959,0.929267011,0.934045095,0.930479653,0.929235733,0.938728414,0.948995204,0.920885977,0.928379311,0.880193239,0.932082518,0.900533769,0.964121233,1.006509225,1.025527304,1.159532322,1.028709516,1.008143537,0
